county_st,a,b
"Baldwin County, Alabama",1.2562889948345366,1.162280551231368
"Butler County, Alabama",1.719235182703513,1.035723637301826
"Chambers County, Alabama",2.017345393774257,1.2555635612860239
"Chilton County, Alabama",4.695608381020143,1.134233123945018
"Cleburne County, Alabama",2.8020479075817812,1.118133324198399
"Colbert County, Alabama",1.9968972460630239,1.118053795317736
"Conecuh County, Alabama",1.8776498612619639,1.1113103918428686
"Cullman County, Alabama",2.5388543699572037,1.1298459546965238
"Dale County, Alabama",1.7407590553157046,1.1833966880919053
"DeKalb County, Alabama",3.2350838282890275,1.1423589590776522
"Etowah County, Alabama",3.640609694389237,1.2074845804272363
"Greene County, Alabama",2.617615252065267,1.1323899254096632
"Houston County, Alabama",2.3027584560890424,1.1777477535249647
"Jefferson County, Alabama",11.877090017509676,1.1779526288473445
"Lowndes County, Alabama",1.2925239495333578,1.161563149079709
"Macon County, Alabama",2.032609394206133,1.1572153066510902
"Madison County, Alabama",5.24897701713437,1.1999434631448807
"Mobile County, Alabama",2.290666857595362,1.2785596474615417
"Montgomery County, Alabama",1.5630917095009145,1.1759182774197423
"Morgan County, Alabama",7.316282595200467,1.1225290275252129
"St. Clair County, Alabama",1.791590613941782,1.1575301704198144
"Talladega County, Alabama",1.4122078618823228,1.1477798508625456
"Tuscaloosa County, Alabama",2.4524248727921036,1.149261628378519
"Walker County, Alabama",2.577968307512182,1.203766756276794
"Apache County, Arizona",4.5859752424723395,1.1260150270354952
"Cochise County, Arizona",1.6948487349785621,1.1097319706284403
"Coconino County, Arizona",5.897542916395966,1.2033529141239054
"La Paz County, Arizona",2.6926642549472493,1.0317583556182395
"Maricopa County, Arizona",0.3496246205999313,1.163645274584741
"Mohave County, Arizona",3.8847819104161654,1.1536239792971208
"Navajo County, Arizona",4.356773290763886,1.2269539641109029
"Pima County, Arizona",1.2772785850052615,1.2376444931803348
"Pinal County, Arizona",2.4713762574228233,1.1309606939319947
"Santa Cruz County, Arizona",1.7014041102577366,1.0677542759941467
"Yavapai County, Arizona",1.9657970621351726,1.202903275242388
"Yuma County, Arizona",2.114893911407683,1.131828204569336
"Benton County, Arkansas",2.78590976688358,1.1884589063053805
"Clark County, Arkansas",2.8460095521821835,1.1533013826870784
"Conway County, Arkansas",2.4467513112468393,1.050999506750029
"Craighead County, Arkansas",1.7055190511490206,1.1554046595728458
"Crawford County, Arkansas",2.039377946631464,1.0560042607179425
"Crittenden County, Arkansas",1.7809586291639132,1.2210124385697132
"Franklin County, Arkansas",2.0,1.0
"Hot Spring County, Arkansas",2.0122175186654516,1.1091521624077172
"Jefferson County, Arkansas",3.3324370106593415,1.1316798576876042
"Miller County, Arkansas",4.229229399500521,1.2092080508884653
"Mississippi County, Arkansas",2.0926574207245023,1.1938481165518688
"Nevada County, Arkansas",2.0000000000000004,1.0
"Pope County, Arkansas",1.5330270951939973,1.135913027195046
"Pulaski County, Arkansas",8.21808290904324,1.1401311446845628
"Saline County, Arkansas",1.1817667854347407,1.1511925998985535
"Sebastian County, Arkansas",1.7536996617014993,1.1042242523865684
"St. Francis County, Arkansas",1.5184078827782352,1.375967734992478
"Washington County, Arkansas",2.6752350670409437,1.149215326131313
"White County, Arkansas",4.941963754871336,1.1371477275033333
"Alameda County, California",3.0919652982236125,1.1690369789353143
"Butte County, California",3.228722290187779,1.093878598123282
"Colusa County, California",1.6986932535445003,1.0713892864395582
"Contra Costa County, California",3.4421970313797363,1.158771352607885
"El Dorado County, California",3.567360658571516,1.141550416729676
"Fresno County, California",1.099493012232678,1.1751864257750095
"Glenn County, California",2.4331731871514695,1.024808876146108
"Humboldt County, California",0.7848037361132152,1.0783380706308805
"Imperial County, California",5.326895650416383,1.1683832635463411
"Kern County, California",2.2516380965975227,1.278103029244102
"Kings County, California",2.574334219829574,1.1010644581316533
"Lake County, California",2.9149249735892218,1.1219551454461996
"Los Angeles County, California",0.4071275586166464,1.2072660740544987
"Madera County, California",1.142789857024089,1.1174456776392372
"Marin County, California",0.9348941245382031,1.1406324265564918
"Mendocino County, California",1.9317455875480076,1.0552188992934504
"Merced County, California",2.9937021108777753,1.1938247158509885
"Monterey County, California",5.3588406284476555,1.1427846066912282
"Napa County, California",0.9501434212018659,1.0756255531637244
"Nevada County, California",1.5115765369417251,1.1670568062993734
"Orange County, California",0.4944916430486344,1.154214797485857
"Placer County, California",2.5905974949944555,1.1116946160285193
"Riverside County, California",2.429327170635291,1.2208188931155062
"Sacramento County, California",1.1871469899175,1.142949298397199
"San Bernardino County, California",2.99487380629012,1.2708009839673753
"San Diego County, California",0.37135227789499936,1.171134025901916
"San Francisco County, California",1.1364188842520264,1.1315025921747244
"San Joaquin County, California",4.424333305183315,1.1695909195452563
"San Luis Obispo County, California",6.114164111455689,1.1464791123704634
"San Mateo County, California",2.515095777514485,1.184405797087624
"Santa Barbara County, California",3.283250508967802,1.217296493436662
"Santa Clara County, California",1.4021178862834387,1.1508041608439659
"Santa Cruz County, California",1.6333608418605967,1.1428753514082726
"Shasta County, California",1.1423218052327013,1.0957671465620107
"Siskiyou County, California",3.408154673922249,1.0186972631136344
"Solano County, California",5.408332906176204,1.0649158921138242
"Sonoma County, California",1.2512966261387835,1.1202044578426291
"Stanislaus County, California",2.139124032285959,1.150665694176638
"Sutter County, California",3.2405479193763482,1.164401719827279
"Tehama County, California",1.9999999999999998,1.0
"Tulare County, California",2.462260348802558,1.172889608468789
"Ventura County, California",3.32005251488658,1.1823127388885197
"Yolo County, California",1.3359776101203875,1.1221590251956954
"Yuba County, California",2.713163215615339,1.0988674201193223
"Adams County, Colorado",3.6472574415248116,1.2082283406835443
"Arapahoe County, Colorado",3.5070991454556144,1.216262071646439
"Boulder County, Colorado",7.229542522040287,1.1634119797313054
"Broomfield County, Colorado",2.5936854610460145,1.1968603832691234
"Denver County, Colorado",4.102684216932294,1.204585602414274
"Douglas County, Colorado",2.1302478674816037,1.1641792760031142
"Eagle County, Colorado",3.906045168249887,1.1741747603429802
"El Paso County, Colorado",1.2289716804643767,1.2260676972327313
"Garfield County, Colorado",2.9123866236764298,1.1458609018081858
"Grand County, Colorado",2.5059056294755053,1.0405079592102595
"Jefferson County, Colorado",1.7922975033045712,1.206968986022731
"Kit Carson County, Colorado",1.999190455976345,1.103190750450715
"La Plata County, Colorado",3.8132091459939312,1.1797549855924638
"Larimer County, Colorado",1.436360568153208,1.1984404475979633
"Lincoln County, Colorado",2.0,1.0
"Mesa County, Colorado",1.336925582977147,1.1392334903075951
"Morgan County, Colorado",1.926358264398325,1.1297077087228329
"Pitkin County, Colorado",9.633472659443877,1.0573830591140356
"Prowers County, Colorado",2.0,1.0
"Pueblo County, Colorado",1.263630299360572,1.1585858932032338
"Routt County, Colorado",1.6615891754068377,1.1328425637830306
"Summit County, Colorado",2.7016593106320865,1.122954835460698
"Weld County, Colorado",3.786777261080048,1.2424295421569194
"Fairfield County, Connecticut",3.655591950124923,1.2903450458257533
"Hartford County, Connecticut",5.382092116797559,1.2686222478594913
"Middlesex County, Connecticut",3.552242394854299,1.2174275044409928
"New Haven County, Connecticut",4.430356806143309,1.2983130743388234
"New London County, Connecticut",2.9239576982971416,1.216295736578223
"Tolland County, Connecticut",7.782757288235239,1.1642368405516441
"Windham County, Connecticut",1.317824744626488,1.2039699696019488
"Kent County, Delaware",3.7528973574937914,1.1967193183834401
"New Castle County, Delaware",4.31276194183421,1.2069234123562809
"Sussex County, Delaware",4.4347952010910445,1.216679337184933
"Alachua County, Florida",2.9186367919249023,1.1656290597661414
"Baker County, Florida",1.7059074181330849,1.1063242533744928
"Bay County, Florida",1.7494369236329785,1.1834483169535281
"Brevard County, Florida",3.0281045480493547,1.188989065430469
"Broward County, Florida",4.090896818827323,1.2423398838927724
"Charlotte County, Florida",0.8202922031692135,1.1418116292881637
"Collier County, Florida",3.550113104347242,1.1811246422924433
"Columbia County, Florida",2.3463973972371344,1.111707547988621
"Duval County, Florida",3.1460823367072557,1.233508574415721
"Escambia County, Florida",1.6153254972933646,1.2548232142649511
"Gadsden County, Florida",1.3438859721677143,1.118734794706585
"Glades County, Florida",3.123620002551708,1.0562738786194825
"Hamilton County, Florida",2.0,1.0
"Hernando County, Florida",4.421465600014279,1.1447552470514548
"Hillsborough County, Florida",1.0079255434154597,1.1977397603712132
"Indian River County, Florida",4.6772282164262196,1.1566996684062398
"Jackson County, Florida",1.5936877909351903,1.0654347448152774
"Lake County, Florida",2.690548613851877,1.2080775406921986
"Lee County, Florida",1.5120025166636704,1.201394114043263
"Leon County, Florida",3.0846077476396325,1.1684487378875184
"Madison County, Florida",3.289859545196254,1.2327386318305664
"Manatee County, Florida",1.1059793935722377,1.1392775679033909
"Marion County, Florida",3.6389082644063926,1.1923863240351906
"Martin County, Florida",2.2039885394945764,1.2266875664414092
"Miami-Dade County, Florida",7.2688794957563,1.3050403416581837
"Monroe County, Florida",2.980992241158228,1.1918571783651317
"Nassau County, Florida",1.0193826955680132,1.1180490669317593
"Okaloosa County, Florida",1.2132561797492578,1.148809229130268
"Okeechobee County, Florida",2.096489224861275,1.1676525885891365
"Orange County, Florida",3.4856542545161098,1.2690440107058378
"Osceola County, Florida",3.20756557189002,1.208824540525639
"Palm Beach County, Florida",5.395439754828836,1.2523955884323932
"Pasco County, Florida",1.4344848905487984,1.176903938841428
"Pinellas County, Florida",2.342096931699888,1.2165522172200416
"Polk County, Florida",3.778993138190067,1.2179458248560069
"Sarasota County, Florida",2.606344197611081,1.1867889490770425
"Seminole County, Florida",2.4120376594008106,1.2047949780822944
"St. Johns County, Florida",1.7234839608376273,1.1960450920033001
"St. Lucie County, Florida",3.9787310660952433,1.229691478125131
"Sumter County, Florida",3.7379268681443225,1.1929879736872628
"Suwannee County, Florida",1.693784282715908,1.31755364935216
"Volusia County, Florida",1.9116781300025587,1.159676655082434
"Walton County, Florida",3.9679112421901586,1.1110927544236893
"Bartow County, Georgia",7.83827800799385,1.1438810833764497
"Bibb County, Georgia",1.998099773320272,1.1942261790356694
"Bryan County, Georgia",3.5124342915807394,1.1498223549661357
"Butts County, Georgia",2.577447965109819,1.1321772701683643
"Camden County, Georgia",1.791367402275243,1.1641899596669718
"Carroll County, Georgia",18.91156815421326,1.1463665064147566
"Chatham County, Georgia",3.3278448172600026,1.2204109977155007
"Clarke County, Georgia",4.546001128706119,1.1440155475849634
"Clayton County, Georgia",4.206521519801644,1.2092525088799908
"Cobb County, Georgia",4.5080564488248935,1.1809367864891076
"Columbia County, Georgia",2.2787705403964322,1.1729705095595129
"Cook County, Georgia",1.487902084040559,1.1304607289709045
"Coweta County, Georgia",2.658961529826484,1.1584317376873454
"Crisp County, Georgia",3.468036722188481,1.207067973945275
"Dade County, Georgia",1.823934570598366,1.0337308247152914
"DeKalb County, Georgia",3.652147248149823,1.214967905086024
"Dooly County, Georgia",6.163944531118166,1.203454411063095
"Dougherty County, Georgia",10.080522027541713,1.2354892518525376
"Douglas County, Georgia",5.230986693365083,1.2036600383509082
"Franklin County, Georgia",3.0271849926063505,1.0456978893651394
"Fulton County, Georgia",1.9831489435485345,1.2077800520831419
"Glynn County, Georgia",2.9667406640543517,1.1391120722035804
"Gordon County, Georgia",2.5534016880928943,1.1044062817533449
"Gwinnett County, Georgia",1.3889901621647947,1.2218505551122165
"Hall County, Georgia",2.89898796978136,1.212734737004399
"Haralson County, Georgia",2.1948532250468755,1.1804842157139355
"Jackson County, Georgia",2.067904111322093,1.2054493074127959
"Laurens County, Georgia",3.0776527688832953,1.1177605276239682
"Liberty County, Georgia",1.7000527394123537,1.1556783837975875
"Lowndes County, Georgia",2.1976206394016744,1.1256179320886646
"McDuffie County, Georgia",1.5073149461960285,1.19433733785727
"Monroe County, Georgia",1.903232492685958,1.106613421015676
"Morgan County, Georgia",1.3068130163446414,1.1165554875086465
"Muscogee County, Georgia",2.0772355541814957,1.2128972123124602
"Peach County, Georgia",2.614833039803316,1.1046672629482732
"Richmond County, Georgia",3.722022512566508,1.1537021851576397
"Tift County, Georgia",2.7105861110416027,1.1842137981917107
"Troup County, Georgia",2.2008596082268177,1.1484513584722889
"Turner County, Georgia",1.2528579725724796,1.155816752679284
"Whitfield County, Georgia",1.6959137783888307,1.1323322922365835
"Hawaii County, Hawaii",2.138891312734987,1.1363405584800432
"Honolulu County, Hawaii",1.619678026313757,1.19275867618629
"Kauai County, Hawaii",2.3420437662649443,1.092956029672963
"Maui County, Hawaii",3.366661519407529,1.1308495018140183
"Ada County, Idaho",1.810572554165464,1.2657806490908672
"Bannock County, Idaho",3.3252737068074376,1.0456659861060524
"Blaine County, Idaho",3.866191410604914,1.239620566301916
"Bonneville County, Idaho",1.988922841152928,1.1551335145460693
"Canyon County, Idaho",3.291817135029558,1.2442080492072662
"Elmore County, Idaho",3.4644560097309847,1.205565488407121
"Jerome County, Idaho",3.1238068435521082,1.2651468911856092
"Kootenai County, Idaho",3.9111565861769844,1.158184255212047
"Minidoka County, Idaho",1.8196189489943333,1.0991312225591845
"Nez Perce County, Idaho",3.621955793344815,1.137670739224491
"Adams County, Illinois",1.2976402342424036,1.1002820692335689
"Bond County, Illinois",2.625304380166076,1.0579842640663948
"Boone County, Illinois",4.2581956027457,1.2039764646185536
"Champaign County, Illinois",3.6339912935748453,1.2164547553480887
"Clark County, Illinois",1.8730198663346347,1.1051255947650571
"Cook County, Illinois",0.5045042302675189,1.2082192713919235
"Cumberland County, Illinois",1.9470797872919952,1.0032231602949846
"DuPage County, Illinois",9.989063808430068,1.2209518499366272
"Effingham County, Illinois",1.7167090325885417,1.1087436891685774
"Franklin County, Illinois",1.9075942972486133,1.0264082931128986
"Grundy County, Illinois",2.0076230467999134,1.134868470321912
"Henry County, Illinois",1.9548322841730277,1.190523566384785
"Iroquois County, Illinois",2.1419425243823778,1.1138972615964264
"Jefferson County, Illinois",2.462288826689833,1.2311444133449163
"Kane County, Illinois",1.6845595414727965,1.2112858749264612
"Kankakee County, Illinois",1.8303810095419646,1.247596858058731
"Knox County, Illinois",2.0000000000000004,1.0
"Lake County, Illinois",3.366278431282793,1.2565962757624072
"LaSalle County, Illinois",1.7080719551426753,1.1078182221683037
"Macon County, Illinois",1.789968993783192,1.1925159237571854
"Madison County, Illinois",1.5468955755416516,1.2085133939816115
"McHenry County, Illinois",1.6111222793269997,1.1849748734933947
"McLean County, Illinois",4.684248213822501,1.1468219995383693
"Morgan County, Illinois",2.273543036739774,1.1150541846760609
"Peoria County, Illinois",2.534754269103497,1.0879452914213656
"Rock Island County, Illinois",1.701385901977375,1.2443850145298156
"Sangamon County, Illinois",2.5565770675661157,1.1134665954661467
"St. Clair County, Illinois",1.756346135122119,1.1901463978312719
"Vermilion County, Illinois",2.6956689519253465,1.1399712973100118
"Will County, Illinois",4.506463126628954,1.2855855487299994
"Williamson County, Illinois",1.3559689647362174,1.0663017621947024
"Winnebago County, Illinois",1.5384670388633572,1.1670007989006461
"Allen County, Indiana",4.2101640240272475,1.1954348721746761
"Bartholomew County, Indiana",1.4409508471506673,1.177816869860164
"Boone County, Indiana",0.9003442103104077,1.1603570007843294
"Clark County, Indiana",2.201843033753581,1.2096474603491576
"Clay County, Indiana",1.3726046441809892,1.2118287028610095
"Crawford County, Indiana",1.3726758018602456,1.2001233574140853
"Decatur County, Indiana",12.368920273963774,1.1696891323395264
"Delaware County, Indiana",3.177466744727402,1.1761391148092182
"Elkhart County, Indiana",2.9917831564927813,1.1820025183090408
"Fulton County, Indiana",1.65978793854893,1.0704349623262563
"Gibson County, Indiana",3.7611199268404003,1.025106468571256
"Grant County, Indiana",2.179986782955085,1.1376146995688816
"Hancock County, Indiana",3.3432909380217692,1.219798963757882
"Hendricks County, Indiana",1.2324730375969914,1.1852996393715516
"Henry County, Indiana",1.7153783084091518,1.2254690136560487
"Huntington County, Indiana",1.913643669793947,1.1150533564825957
"Jackson County, Indiana",2.332674825965412,1.2383006479274483
"Jasper County, Indiana",3.7497895016848726,1.1263043715878127
"Johnson County, Indiana",2.040259784411266,1.19409431831707
"LaGrange County, Indiana",2.423109199186033,1.0924328152347058
"Lake County, Indiana",3.5481571794355617,1.270553332222439
"LaPorte County, Indiana",1.1806721802641185,1.1305753502006655
"Madison County, Indiana",1.3032842196838814,1.2621643195307177
"Marion County, Indiana",0.9446482329405878,1.2947090725475903
"Marshall County, Indiana",2.7013526397128365,1.1069292693335908
"Monroe County, Indiana",3.799604535884839,1.2017561538366033
"Montgomery County, Indiana",2.415121248043959,1.1583474780092642
"Porter County, Indiana",3.651086706211073,1.2586761599220078
"Shelby County, Indiana",1.4627233384006877,1.2248488884061206
"St. Joseph County, Indiana",1.2359015095137267,1.193359405798934
"Steuben County, Indiana",1.5852872974236745,1.2152022202222867
"Tippecanoe County, Indiana",2.278741312085523,1.1644732324377822
"Vanderburgh County, Indiana",1.6080842982525274,1.2146299445708737
"Vermillion County, Indiana",0.9733310607785425,1.1689092405096115
"Vigo County, Indiana",2.0531520548454543,1.1463931418753452
"Wayne County, Indiana",1.1515058842542205,1.11854113485791
"White County, Indiana",2.4025985432892676,1.0577241244140214
"Black Hawk County, Iowa",2.1077764052448535,1.1023897268001648
"Cedar County, Iowa",3.340714056432357,1.1277294687735893
"Cerro Gordo County, Iowa",2.738412588015606,1.1082522880491583
"Clarke County, Iowa",1.9999999999999996,1.0
"Des Moines County, Iowa",1.745477261112772,1.0440541667092098
"Dubuque County, Iowa",3.13728124230679,1.1379257175432558
"Hamilton County, Iowa",1.9999999999999998,1.1293469354568555
"Henry County, Iowa",1.4427428275026655,1.1307264269639543
"Jasper County, Iowa",2.585450426593252,1.1069067554574035
"Johnson County, Iowa",8.295387114976164,1.0988682838695898
"Linn County, Iowa",5.096693708240201,1.2562950604351246
"Polk County, Iowa",2.796548009219911,1.199694872415019
"Pottawattamie County, Iowa",1.4124908536680907,1.0650724731851526
"Poweshiek County, Iowa",3.188831541050888,1.0599753887310384
"Scott County, Iowa",2.252156480452344,1.2416295753380429
"Story County, Iowa",1.933937175005013,1.0766614869185829
"Woodbury County, Iowa",2.321129713602509,1.1014267475075605
"Coffey County, Kansas",5.62219896079432,1.1807464234102227
"Douglas County, Kansas",2.525030485142163,1.1566027526037306
"Finney County, Kansas",1.6848988637172053,1.2373093123503374
"Ford County, Kansas",1.8243828328416865,1.0154553762534857
"Franklin County, Kansas",1.320367291895316,1.0932679332219672
"Harvey County, Kansas",1.7394561943208793,1.0849953640189358
"Johnson County, Kansas",1.976154104880922,1.1793066054464545
"Leavenworth County, Kansas",3.4967659458864566,1.1466006961637007
"Lyon County, Kansas",2.9895093981978125,1.1605783849279279
"McPherson County, Kansas",2.3576783655577906,1.1595564716136624
"Neosho County, Kansas",2.0000000000000004,1.0
"Reno County, Kansas",2.4361010016028115,1.098229016328078
"Saline County, Kansas",1.9802382250129988,1.1863080805023476
"Sedgwick County, Kansas",2.438630761342355,1.257572926790648
"Seward County, Kansas",2.2449240966187456,1.414213562373095
"Shawnee County, Kansas",5.039010525254578,1.190873585295972
"Wyandotte County, Kansas",1.8461533493549163,1.2111898641137064
"Boone County, Kentucky",2.551334202533145,1.2119532283986225
"Boyd County, Kentucky",3.6179349721909237,1.1938802093738756
"Bullitt County, Kentucky",2.97071140781844,1.1570627595373075
"Carter County, Kentucky",1.9999999999999996,1.0
"Christian County, Kentucky",1.7210483220683304,1.1653240925262205
"Fayette County, Kentucky",1.7933989271896733,1.1571199788536717
